Sport,2017,2013,2008,2007,2006,2005,2004
Football,37,39,41,43,43,34,37
Basketball,11,12,9,11,12,12,13
Baseball,9,14,10,13,11,12,10
Soccer,7,4,3,2,2,3,2
Ice hockey,4,3,4,4,2,4,3
Auto racing,2,2,3,3,4,5,5
Tennis,2,3,1,1,1,3,2
Golf,1,2,2,2,3,2,2
Volleyball,1,0,1,0,0,1,0
Boxing,1,1,2,1,2,1,1
Gymnastics,1,0,1,1,1,0,1
Motocross,1,0,0,0,0,0,1
Ice/Figure skating,1,1,1,2,3,3,4
Rodeo,0,0,0,0,0,1,1
Track and field,0,1,0,0,0,0,0
Fishing,0,1,0,0,0,1,0
Swimming,0,0,0,0,0,0,0
Wrestling,0,0,0,1,0,1,1
Bowling,0,0,0,0,0,0,0
Other,5,4,6,3,3,4,4
None,15,11,14,12,12,13,12
No opinion,0,0,0,1,0,0,1